12307	Over The Rainbow	Gary Tanner	null	null
12645	Stay The Night	The Faragher Bros.	null	null
12696	I Need You	Euclid Beach Band	null	null
16221	Can t We Try	Dan Hill (Duet With Vonda Shepard)	null	null
16365	Can't We Try	Dan Hill (Duet With Vonda Shepard)	null	null
17157	Rock Wit cha	Bobby Brown	294398	7BVMXNnQSswMX8IJeZUb5T
17174	Talk To Myself	Christopher Williams	299280	null
17176	Me So Horny	The 2 Live Crew	431856	0iZe1e14Xrm3DN1sHW8kZO
17189	Don t Make Me Over	Sybil	281298	2QXeYzNsXgtI4YLeyr42aj
17223	The Arms Of Orion	Prince (With Sheena Easton)	351039	null
17255	I ll Be Good To You	Quincy Jones Featuring Ray Charles	277260	4cLXNwNqXWT1CTR5Gyr7ei
17256	No More Lies	Michel le	310953	1Oz5bcZyzhiaEa3F06EiPY
17273	Serious Kinda Girl	Christopher Max	299272	null
17277	I Don t Know	Michael Morales	310827	null
17286	I Will Survive (From "She-Devil")	SaFire	277419	null
17287	Foolish Heart	Sharon Bryant	278947	7JR5s8DtDZxhVHAqawvo20
17288	C Mon And Get My Love	D-Mob With Cathy Dennis	null	null
17289	Never 2 Much Of U	Dino	300959	null
17294	Right And Hype	Abstrac	277919	null
17302	All Nite	Entouch Featuring Keith Sweat	301780	6q989QMsV87X9Em9J6DONi
17318	If U Were Mine	The U-Krew	419331	null
17329	You re The Only Woman	The Brat Pack	297083	null
17338	I ll Be There	Joyce "Fenderella" Irby	305303	null
17341	Got To Get	Leila K With Rob  N  Raz	null	3Atr2OBXJVIpQ96zxuActC
17378	You Can t Get Away	Shana	278885	null
17385	How  Bout Us (From "True Love")	Grayson Hugh	303099	null
17394	Always And Forever	Whistle	431306	4c8YJShoSaDCIOMgp36BM6
17406	Nicety	Michel le	310953	1vw9MuorZMUxhsQBGsgyo1
17412	U Can t Touch This	M.C. Hammer	276852	1B75hgRqe7A4fwee3g3Wmu
17415	Notice Me	Nikki	1529865	null
17417	That s The Way Of The World	D-Mob With Cathy Dennis	null	null
17420	This	Michael Penn	310852	1M1tkdT27qDK1J7zs97aOG
17423	Sittin  In The Lap Of Luxury	Louie Louie	308284	null
17429	B	Young And Restless	431661	7AiGl9XO87W4FyqLKiZerB
17441	She Ain t Worth It	Glenn Medeiros Featuring Bobby Brown	302931	null
17452	Tomorrow (A Better You, Better Me)	Quincy Jones With Tevin Campbell	null	4jYuAdVCOMkEQJWV2qvlj6
17460	Could This Be Love	Seduction	278574	3vlhjgeKW3u1Fjzf6JiJvo
17463	Let Me Be Your Lover	The U-Krew	419331	null
17468	Don t You Love Me	49-ers	431955	null
17469	Follow My Heartbeat	A me Lorain	275211	null
17495	Stranger To Love	St. Paul	280258	1WVHjwcIIulU9Zg1XncdO7
17496	How Bad Do You Want It?	Don Henley	301124	6KIbBxMKqXxZeK8wOtRFiX
17500	All Lips N  Hips	Electric Boys	301588	null
17508	All The Way	Calloway	275850	null
17509	Summer Vacation	The Party	1540606	null
17511	Slow Love	Doc Box	null	null
17513	Can t Stop	After 7	278131	1TYt5etb427hvOod3EKJA5
17514	Tell Me Something	Indecent Obsession	303774	null
17526	That s Not Her Style	Billy Joel	284376	null
17529	I Won t Give Up On You	TKA	277501	null
17532	Only Women Bleed	Favorite Angel	302042	null
17534	All I m Missing Is You	Glenn Medeiros Featuring Ray Parker, Jr.	302931	7yahyqRgGzbpfh3UIHw8xc
17536	I Wanna Get Back With You	Louie Louie	308284	null
17545	Empty Beach	Tricia Leigh Fisher	430431	null
17552	Dream Boy/Dream Girl	Cynthia	299879	null
17553	Undeniable	Ms. Adventures	311913	null
17570	I Don t Love You Anymore	The London Quireboys	null	null
17583	Tom s Diner	DNA Featuring Suzanne Vega	1488428	7rQtCINCHFjFgLscYheSMq
17592	B.B.D. (I Thought It Was Me)?	Bell Biv Devoe	281150	26yEd8XVwJpHDERXo6rZ8X
17602	Biscuit s In The House	Biscuit	286470	null
17616	I Found Love	The Party	1540606	null
17626	I m Not In Love	Will To Power	431380	6PGy9r1qgWeEEICDf2QIQP
17629	Does She Love That Man?	Breathe Featuring David Glasper	297101	7Cbz21BW7tzfNtUmaUnEfj
17634	Rockin  Over The Beat	Technotronic	371857	5xuktWMVGM0OcOOO39zILo
17644	No Matter What	George LaMond (Duet With Brenda K. Starr)	null	null
